['1S', '1C', '3H']
['1S', '1C', '4H']
['1S', '1C', '5H']
['1S', '1C', '6H']
['1S', '1C', '7H']
['1S', '1C', '8H']
['1S', '1C', '9H']
['1S', '1C', '10H']
['1S', '1C', 'JH']
['1S', '1C', 'QH']
['1S', '1C', 'KH']
['1S', '1C', 'AH']
['1S', '2C', '3C']
['1S', '2C', '4C']
['1S', '2C', '5C']
['1S', '2C', '6C']
['1S', '2C', '7C']
['1S', '2C', '8C']
['1S', '2C', '9C']
['1S', '2C', '10C']
['1S', '2C', 'JC']
['1S', '2C', 'QC']
['1S', '2C', 'KC']
['1S', '2C', 'AC']
['1S', '2C', '1D']
['1S', '2C', '2D']
['1S', '2C', '3D']
['1S', '2C', '4D']
['1S', '2C', '5D']
['1S', '2C', '6D']
['1S', '2C', '7D']
['1S', '2C', '8D']
['1S', '2C', '9D']
['1S', '2C', '10D']
['1S', '2C', 'JD']
['1S', '2C', 'QD']
['1S', '2C', 'KD']
['1S', '2C', 'AD']
['1S', '2C', '1H']
['1S', '2C', '2H']
['1S', '2C', '3H']
['1S', '2C', '4H']
['1S', '2C', '5H']
['1S', '2C', '6H']
['1S', '2C', '7H']
['1S', '2C', '8H']
['1S', '2C', '9H']
['1S', '2C', '10H']
['1S', '2C', 'JH']
['1S', '2C', 'QH']
['1S', '2C', 'KH']
['1S', '2C', 'AH']
['1S', '3C', '4C']
['1S', '3C', '5C']
['1S', '3C', '6C']
['1S', '3C', '7C']
['1S', '3C', '8C']
['1S', '3C', '9C']
['1S', '3C', '10C']
['1S', '3C', 'JC']
['1S', '3C', 'QC']
['1S', '3C', 'KC']
['1S', '3C', 'AC']
['1S', '3C', '1D']
['1S', '3C', '2D']
['1S', '3C', '3D']
['1S', '3C', '4D']
['1S', '3C', '5D']
['1S', '3C', '6D']
['1S', '3C', '7D']
['1S', '3C', '8D']
['1S', '3C', '9D']
['1S', '3C', '10D']
['1S', '3C', 'JD']
['1S', '3C', 'QD']
['1S', '3C', 'KD']
['1S', '3C', 'AD']
['1S', '3C', '1H']
['1S', '3C', '2H']
['1S', '3C', '3H']
['1S', '3C', '4H']
['1S', '3C', '5H']
['1S', '3C', '6H']
['1S', '3C', '7H']
['1S', '3C', '8H']
['1S', '3C', '9H']
['1S', '3C', '10H']
